condition,profile_id,gender,year_birth,race,education,income,party,donation,newsletter,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,trust_post_1,distrust_1,funding_5,policy_1_1,policy_2_1,policy_3_1,policy_4_1,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,belief_post_1,concern_1_1,concern_2_1,concern_3_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1
Social justice,p00119,1,1973,1,4,1,3,9,Yes,80,90,85,95,98,92,88,90,85,80,95,70,92,0,60,80,70,95,80,92,95,90,85,60,98,98,100,95,85,90,85,95,80,60,70,90,50,80,40,20,70,60
Social justice,p00120,2,1979,3,3,2,3,8,Yes,90,92,95,98,96,97,93,94,92,85,88,90,98,2,70,99,60,90,85,96,97,98,99,95,95,98,97,92,99,80,90,95,85,40,75,80,65,90,85,70,95,80
Social justice,p00121,1,1959,1,2,3,3,8,Yes,95,98,99,100,100,100,95,90,98,92,95,90,100,0,50,100,80,95,90,95,100,100,98,60,98,98,99,90,99,95,90,100,98,60,80,95,30,70,50,20,40,60
Social justice,p00122,1,2007,3,3,5,2,8,Yes,90,95,92,98,97,96,99,98,94,95,93,96,99,0,80,98,90,97,96,92,94,93,95,91,100,100,99,95,98,94,93,98,97,96,95,94,80,85,90,75,95,92
Social justice,p00123,2,1957,3,3,4,3,9,Yes,90,95,92,98,99,97,96,95,94,92,91,93,99,0,80,98,97,96,95,92,93,94,95,90,98,99,100,95,95,92,94,96,98,90,95,99,70,80,85,60,90,88
Social justice,p00124,1,1989,1,3,3,2,10,Yes,90,92,95,98,96,97,99,100,100,95,98,97,95,2,60,95,85,97,98,92,93,94,96,90,100,100,99,95,90,80,85,90,88,75,82,90,70,85,80,40,90,80
Social justice,p00125,1,1997,1,4,3,2,9,Yes,98,95,92,99,98,97,96,95,94,93,92,91,100,0,80,100,80,95,90,95,96,97,98,99,99,98,99,100,100,90,95,96,97,80,92,93,70,85,60,40,50,45
Social justice,p00126,2,1967,1,4,5,3,9,Yes,90,95,92,98,96,94,99,97,95,93,92,90,98,2,80,99,97,98,96,96,98,97,95,94,95,95,97,99,99,95,98,96,97,94,99,95,80,90,85,60,95,85
Social justice,p00127,1,1981,5,2,1,3,8,Yes,80,85,90,95,92,96,88,89,91,75,85,90,95,0,50,98,99,97,96,92,95,90,88,85,98,95,94,92,99,99,98,96,95,94,93,92,75,80,90,70,85,80
Social justice,p00128,1,2001,1,5,5,1,9,Yes,90,95,92,98,96,94,88,91,89,85,92,93,99,5,60,98,70,95,90,92,95,94,93,85,98,92,94,80,90,85,95,98,90,70,80,92,20,80,50,40,60,30
Social justice,p00129,1,1958,3,4,5,3,10,Yes,95,98,99,100,99,98,95,96,97,92,93,94,100,0,80,98,97,96,95,92,95,94,99,85,98,95,99,90,99,99,98,99,97,95,96,94,60,80,85,50,90,70
Social justice,p00130,2,1954,2,5,3,2,8,Yes,90,95,98,92,99,97,96,100,95,98,99,97,98,2,50,90,60,95,85,85,95,92,99,80,95,98,99,100,90,90,95,98,92,85,90,95,70,80,50,60,90,85
Social justice,p00131,2,1978,4,6,4,2,10,Yes,90,95,98,99,100,98,92,95,96,80,90,85,98,2,60,95,90,98,92,90,92,88,96,80,100,98,100,99,95,95,90,92,98,88,95,92,50,80,70,20,90,80
Social justice,p00132,2,1998,1,2,2,1,10,No,80,85,90,95,92,88,96,98,94,99,97,95,90,5,60,95,10,100,95,70,85,80,90,60,100,90,100,80,95,50,70,85,65,30,60,80,20,40,50,15,60,30
Social justice,p00133,1,1996,1,2,3,3,9,Yes,95,98,92,99,100,96,90,95,92,80,85,75,98,2,60,90,85,95,92,92,98,95,96,80,99,98,99,96,95,90,95,98,92,85,96,90,60,80,75,50,85,70
Social justice,p00134,1,1961,2,3,4,2,8,Yes,95,92,90,98,96,94,97,95,93,91,99,92,98,0,80,98,90,92,94,85,87,88,95,75,95,95,98,95,90,90,92,94,96,88,95,90,50,60,40,30,70,80
Social justice,p00135,1,1978,1,2,1,3,10,Yes,80,85,90,95,92,88,98,96,94,76,82,78,99,0,20,98,97,99,96,90,92,89,91,88,95,95,92,98,100,90,89,94,93,92,91,99,60,70,40,50,80,65
Social justice,p00136,2,1945,1,5,5,2,10,Yes,90,95,92,98,99,97,100,95,98,90,92,95,99,0,80,100,95,99,96,95,97,96,98,94,98,98,97,99,100,95,100,96,98,94,97,99,50,80,60,20,90,70
Social justice,p00137,1,1944,3,2,3,2,10,Yes,90,95,92,98,99,97,96,94,93,91,88,86,100,0,60,98,95,97,99,99,100,98,96,92,95,90,95,98,98,100,96,99,97,94,95,98,50,80,70,40,90,60
Social justice,p00138,1,1987,1,4,1,3,10,Yes,95,92,90,98,97,96,99,100,95,88,85,92,98,0,25,99,98,100,97,92,90,88,95,80,100,95,96,90,95,85,80,97,92,85,90,95,70,80,60,50,85,65
Social justice,p00139,2,1996,2,4,1,3,8,Yes,90,95,92,98,96,97,99,100,95,88,90,92,99,1,80,98,85,95,90,85,95,90,92,80,100,100,100,98,98,96,95,97,94,92,98,99,60,80,50,20,70,40
Social justice,p00140,2,1967,3,2,4,1,8,Yes,90,92,95,98,99,97,85,88,90,75,80,95,96,4,65,99,97,99,98,92,95,90,98,80,99,95,96,99,98,97,95,98,96,94,99,97,70,85,90,60,80,75
Social justice,p00141,2,2004,3,4,5,3,10,Yes,95,98,99,96,97,95,94,93,92,90,88,85,100,0,50,100,80,90,85,80,90,85,95,70,100,98,99,95,100,100,90,95,80,70,85,90,50,60,80,40,70,60
Social justice,p00142,1,1946,3,1,3,1,8,Yes,80,85,90,95,98,92,88,82,90,70,75,85,92,5,80,98,80,92,90,90,92,88,95,85,98,95,98,85,95,95,92,90,85,80,88,95,50,60,40,20,30,25
Social justice,p00143,2,1956,1,2,3,3,8,Yes,80,90,95,98,99,97,92,94,96,91,93,88,95,3,60,97,89,94,96,85,95,92,90,78,100,95,99,98,98,97,91,96,93,80,94,97,92,98,95,88,96,93
Social justice,p00144,1,1967,1,5,5,3,10,Yes,95,92,98,100,99,97,96,95,94,90,92,88,98,0,50,95,80,90,85,80,85,88,92,75,100,98,99,95,90,80,90,95,85,70,85,80,60,75,90,50,70,80
Social justice,p00145,1,1983,1,5,1,3,6,Yes,90,95,92,98,96,99,97,94,93,91,88,89,95,5,20,85,80,92,88,80,82,84,90,60,98,95,98,90,85,80,85,90,92,88,95,80,70,60,50,30,90,40
Social justice,p00146,2,1943,1,4,3,1,9,Yes,95,92,98,99,97,96,88,90,94,91,93,89,100,0,40,98,60,95,92,92,94,93,97,80,95,90,96,98,98,75,85,90,80,60,88,92,45,70,30,20,40,35
Social justice,p00147,2,1992,1,4,4,3,10,Yes,95,98,97,99,100,98,95,96,97,99,100,98,95,0,90,100,95,100,96,95,97,96,98,92,100,98,99,100,100,95,97,98,96,90,95,92,80,95,85,50,98,90
Social justice,p00148,1,1936,2,3,4,3,9,Yes,95,90,92,98,99,96,88,85,82,78,80,76,92,4,60,99,85,98,90,90,92,89,95,70,98,95,97,99,98,96,94,98,95,92,97,99,50,60,40,20,80,70
Social justice,p00149,1,1987,1,4,5,2,10,Yes,95,90,98,97,99,96,95,94,93,92,91,90,99,0,80,100,95,96,97,95,96,97,98,85,98,99,98,95,100,90,91,92,93,94,95,96,80,85,90,70,95,88
Social justice,p00150,1,1994,1,6,1,1,9,No,80,85,90,95,92,88,98,99,96,85,95,80,90,5,25,99,10,98,95,80,90,85,95,75,99,98,99,95,98,98,99,95,90,80,85,92,20,60,40,5,50,10
Interview Prof. Maraun,p00151,1,1975,2,4,5,2,10,Yes,95,95,98,99,99,98,99,100,99,95,97,92,98,2,80,100,60,100,98,98,99,99,100,96,100,99,100,90,99,90,95,98,96,70,85,92,50,90,80,60,85,75
Interview Prof. Maraun,p00152,2,1962,2,4,4,3,8,No,90,95,92,98,96,97,99,100,98,95,92,90,95,5,75,90,20,95,85,95,97,96,98,80,98,100,99,80,85,90,95,98,95,80,90,92,60,80,70,40,90,85
Interview Prof. Maraun,p00153,1,1985,1,5,5,1,8,Yes,95,92,98,95,96,94,88,91,90,85,89,92,96,4,60,98,10,95,96,95,98,97,99,85,80,90,92,85,90,80,95,96,97,10,90,98,20,80,60,30,90,70
Interview Prof. Maraun,p00154,2,1973,2,1,2,3,5,No,70,65,60,80,85,90,95,92,88,75,85,80,60,0,20,95,20,100,80,80,85,88,90,70,90,90,92,85,70,60,95,100,80,40,85,90,20,70,50,80,95,60
Interview Prof. Maraun,p00155,1,1940,2,4,3,1,3,Yes,80,85,90,95,92,88,75,85,90,80,95,85,65,10,40,90,0,95,85,85,90,92,95,80,70,60,80,90,80,70,85,95,80,60,90,95,20,70,30,50,80,40
Interview Prof. Maraun,p00156,2,1959,3,2,5,2,10,Yes,80,85,90,95,92,88,98,96,94,82,90,88,95,0,100,95,20,98,92,90,92,89,91,88,98,100,99,95,95,85,80,97,92,75,85,90,60,70,80,20,85,95
Interview Prof. Maraun,p00157,2,1968,1,2,5,1,8,No,80,85,90,95,92,88,75,80,82,70,85,90,45,30,60,95,5,98,90,80,85,90,92,40,20,80,85,92,50,70,95,98,80,20,90,85,25,40,80,10,50,30
Interview Prof. Maraun,p00158,2,1962,1,4,1,3,8,No,80,85,90,95,92,88,75,70,80,65,60,55,85,10,20,95,15,98,92,80,85,82,92,78,95,90,96,99,90,95,98,97,92,80,88,95,50,70,40,30,80,65
Interview Prof. Maraun,p00159,2,2003,1,2,1,1,8,No,80,85,90,95,92,88,75,82,90,70,80,85,60,20,50,90,10,95,85,65,80,75,95,55,40,60,70,80,70,20,40,30,25,10,50,60,0,80,40,10,90,70
Interview Prof. Maraun,p00160,1,1950,1,3,2,3,8,Yes,80,85,90,95,98,96,92,94,97,99,95,98,88,5,30,85,20,95,80,82,85,80,92,78,75,90,92,85,70,60,70,80,90,40,50,95,25,65,10,15,90,40
Interview Prof. Maraun,p00161,2,1993,1,4,5,2,8,Yes,95,92,98,99,98,97,96,95,94,92,93,91,99,1,90,100,60,99,95,95,96,97,98,94,98,98,97,96,100,90,100,99,95,80,98,97,40,90,70,30,50,20
Interview Prof. Maraun,p00162,1,1996,1,3,4,2,10,Yes,90,95,92,98,99,97,85,95,92,88,90,80,98,0,60,99,0,98,90,90,92,91,95,60,95,95,97,92,98,85,80,95,90,75,90,85,60,80,70,40,90,60
Interview Prof. Maraun,p00163,2,1964,1,2,1,3,6,No,80,85,90,95,98,92,88,80,85,70,75,65,60,20,40,95,0,100,98,70,75,80,90,50,80,90,95,85,85,80,85,98,90,0,75,95,10,50,20,40,30,25
Interview Prof. Maraun,p00164,1,1970,5,3,3,3,10,Yes,80,85,90,95,98,97,92,96,99,95,98,97,88,2,80,98,20,100,99,90,92,94,96,88,92,94,96,98,95,95,97,99,98,94,96,95,50,80,90,20,70,60
Interview Prof. Maraun,p00165,1,1997,2,5,3,3,8,Yes,85,90,95,98,96,97,92,94,93,99,100,98,95,0,70,98,0,99,96,88,92,91,94,80,85,90,95,92,90,80,85,88,90,0,92,95,60,80,85,50,90,88
Interview Prof. Maraun,p00166,1,1982,1,3,3,1,8,Yes,80,85,90,95,92,88,75,70,82,65,60,55,40,25,75,98,10,90,80,85,92,88,95,80,80,80,85,95,90,70,90,95,80,60,85,90,20,50,80,40,60,45
Interview Prof. Maraun,p00167,1,1986,5,4,3,1,10,Yes,85,90,95,100,98,95,80,90,92,70,85,95,98,0,60,100,0,98,95,95,98,96,99,90,90,95,98,90,100,100,100,100,95,80,90,98,20,50,10,30,80,70
Interview Prof. Maraun,p00168,1,2002,3,4,3,3,9,Yes,80,85,90,95,92,88,98,96,91,75,90,80,92,5,50,95,0,98,92,88,92,90,95,80,95,98,99,95,90,85,90,92,95,80,88,92,60,75,70,40,85,80
Interview Prof. Maraun,p00169,2,1976,1,5,5,2,10,Yes,95,98,99,92,95,94,96,97,99,90,92,95,98,5,80,100,20,100,90,85,92,90,95,75,99,98,99,95,100,100,100,100,90,80,95,100,50,80,70,60,90,75
Interview Prof. Maraun,p00170,2,1965,2,2,3,1,9,No,80,85,90,95,98,92,88,85,90,80,85,70,60,20,50,80,40,70,50,70,85,90,95,60,40,80,90,60,30,70,80,90,85,40,50,60,20,30,10,40,50,60
Interview Prof. Maraun,p00171,2,1978,1,3,1,1,8,Yes,70,80,85,90,95,92,60,65,70,80,90,85,45,55,20,95,20,90,85,40,50,55,80,30,30,80,85,70,75,60,90,95,80,50,85,90,20,70,40,15,85,60
Interview Prof. Maraun,p00172,2,1990,5,4,4,3,8,Yes,90,92,95,98,99,96,88,85,93,89,95,91,94,5,60,98,20,95,90,85,95,88,92,60,90,92,99,85,92,80,90,95,88,75,85,92,60,70,80,40,90,85
Interview Prof. Maraun,p00173,2,1998,1,2,4,2,8,Yes,95,90,92,98,97,96,99,99,98,95,97,93,90,0,60,100,80,100,95,95,98,96,99,85,99,98,99,90,100,100,80,95,80,50,90,100,70,85,60,30,80,40
Interview Prof. Maraun,p00174,1,1996,1,4,1,3,8,Yes,85,88,90,95,92,89,98,96,94,91,97,99,100,0,30,98,40,95,90,85,90,88,92,78,95,100,99,95,80,80,95,98,90,85,92,88,80,95,90,70,85,78
Interview Prof. Maraun,p00175,2,1964,1,3,2,2,10,Yes,95,90,92,98,97,96,99,100,98,95,92,85,95,0,20,90,10,95,92,92,95,93,96,88,90,98,99,90,90,80,95,90,85,75,95,92,60,80,90,40,70,85
Interview Prof. Maraun,p00176,2,1942,2,5,1,3,8,Yes,85,90,95,95,92,96,88,93,91,98,94,99,92,5,20,100,80,98,90,85,92,88,95,60,95,95,92,88,90,96,98,99,95,92,90,94,50,70,80,30,90,85
Interview Prof. Maraun,p00177,1,2007,2,3,3,1,8,No,90,85,95,92,88,89,80,90,85,95,98,92,60,40,50,98,20,95,85,60,65,62,90,55,70,90,92,95,80,60,80,85,90,45,75,95,50,70,40,30,80,60
Interview Prof. Maraun,p00178,1,1963,1,4,3,2,9,Yes,95,92,98,96,94,97,93,91,95,98,99,92,100,0,80,95,20,98,85,85,90,88,92,75,95,80,90,95,90,75,85,92,80,70,90,95,50,60,40,20,80,30
Interview Prof. Maraun,p00179,1,1993,2,1,2,1,8,Yes,75,80,85,90,95,92,70,80,88,85,95,92,60,20,50,95,20,90,85,85,90,88,92,80,80,60,80,70,70,50,90,95,85,30,80,95,40,80,60,10,90,50
Interview Prof. Maraun,p00180,1,2004,1,3,3,1,8,Yes,75,80,85,90,92,88,70,65,80,90,95,85,60,30,50,98,20,95,92,85,95,92,90,80,80,60,70,80,90,85,90,95,92,60,80,85,40,50,30,70,80,60
Interview Prof. Maraun,p00181,2,1978,3,4,1,3,6,No,80,90,85,95,92,88,75,80,85,95,90,92,65,25,60,95,40,92,85,70,75,80,90,60,98,90,95,80,85,70,80,85,90,65,75,85,60,80,50,40,70,50
Interview Prof. Maraun,p00182,1,2008,1,2,3,2,10,Yes,90,92,95,98,99,97,96,94,93,90,92,95,98,2,75,100,0,100,100,95,97,96,99,98,100,95,98,90,100,70,80,100,95,0,85,98,60,80,75,0,90,85
Interview Prof. Maraun,p00183,1,1977,1,2,4,3,8,No,85,90,92,95,98,96,80,85,88,90,92,95,90,5,50,95,0,98,92,75,85,80,90,60,80,90,95,80,70,85,75,92,90,65,80,85,60,75,40,20,80,70
Interview Prof. Maraun,p00184,1,1937,1,2,3,2,8,No,90,95,92,98,99,97,96,94,93,91,88,89,98,2,50,95,10,98,80,85,90,88,92,60,100,90,92,95,95,75,85,98,90,70,80,95,50,75,60,40,80,70
Interview Prof. Maraun,p00185,2,2004,1,4,1,3,7,Yes,90,92,95,98,96,99,97,95,94,85,88,82,96,4,60,99,80,98,97,92,93,94,95,85,98,95,96,94,95,90,92,99,95,88,96,98,80,85,75,60,70,65
Interview Prof. Maraun,p00186,2,1978,1,4,5,3,9,Yes,95,92,98,99,97,96,94,93,95,91,92,94,96,2,80,95,8,92,90,92,94,93,98,85,90,98,97,95,95,85,80,90,88,70,82,85,50,75,90,40,80,70
Interview Prof. Maraun,p00187,1,1994,1,2,4,1,5,No,80,85,90,95,92,88,70,85,80,75,90,60,40,10,20,90,0,95,85,40,50,55,70,30,60,50,60,40,80,80,90,95,70,20,85,90,0,80,70,20,60,40
Interview Prof. Maraun,p00188,2,1946,3,4,3,3,10,Yes,95,92,90,98,96,97,95,94,93,91,92,90,97,5,80,98,20,99,97,92,95,93,94,88,98,95,96,98,95,92,95,99,97,85,96,98,60,80,70,30,90,85
Interview Prof. Maraun,p00189,2,1971,1,5,2,2,10,Yes,95,90,98,95,92,96,88,85,91,78,92,81,95,0,60,98,20,95,80,95,92,88,90,70,90,92,95,98,98,90,85,80,88,70,85,90,40,75,60,20,80,50
Interview Prof. Maraun,p00190,1,1971,1,1,3,2,9,Yes,95,92,98,100,99,97,95,92,94,98,96,99,100,0,70,90,10,95,80,95,96,97,98,94,90,90,92,85,80,70,80,95,90,60,85,90,50,70,80,40,60,65
Interview Prof. Maraun,p00191,1,1996,1,4,5,1,8,Yes,95,90,92,98,96,97,85,88,91,76,80,78,70,5,50,95,20,98,90,60,65,70,90,40,90,80,85,70,85,60,75,90,80,40,70,85,20,60,80,10,90,70
Interview Prof. Maraun,p00192,1,1975,1,4,5,2,8,Yes,95,90,98,92,96,94,99,97,95,92,98,96,99,1,60,100,5,95,90,80,85,82,95,70,95,99,98,97,90,80,85,90,95,70,80,90,30,40,20,10,50,25
Interview Prof. Maraun,p00193,1,1946,2,3,5,2,10,Yes,95,90,92,98,99,96,94,95,93,92,97,91,99,5,80,95,5,98,96,85,90,88,92,80,100,100,99,90,95,85,95,98,96,60,92,90,70,80,85,30,75,90
Interview Prof. Maraun,p00194,1,1940,3,3,1,1,9,No,80,85,90,95,92,88,75,80,82,65,70,50,20,30,10,80,10,85,70,50,55,52,58,45,40,30,25,35,60,40,50,55,60,20,30,45,10,25,40,20,60,50
Interview Prof. Maraun,p00195,2,1989,2,3,5,2,9,Yes,90,95,92,98,99,96,94,97,93,91,95,90,98,2,80,100,20,90,95,90,95,92,98,80,99,98,99,100,100,95,100,98,90,85,95,99,60,80,90,50,95,85
Interview Prof. Maraun,p00196,2,1945,3,4,1,1,9,No,80,85,90,95,98,92,88,96,94,76,82,89,92,2,50,95,20,98,90,85,88,82,92,78,90,92,94,85,98,95,88,96,90,80,92,98,60,75,50,40,90,80
Interview Prof. Maraun,p00197,1,1977,3,5,3,1,9,No,95,90,98,95,92,88,75,85,80,70,65,60,85,10,20,90,0,95,80,70,85,75,95,60,80,70,85,90,90,60,75,80,70,40,60,85,20,50,30,10,40,25
Interview Prof. Maraun,p00198,1,1998,1,5,4,2,8,Yes,90,95,92,98,96,97,99,100,95,92,94,90,98,5,75,95,5,98,90,85,90,88,92,80,95,95,97,99,92,85,92,90,88,75,95,98,60,80,70,30,90,85
Interview Prof. Maraun,p00199,1,1980,1,4,4,3,8,Yes,85,90,88,95,92,98,80,90,85,75,92,88,92,2,60,95,20,98,92,80,85,82,90,70,95,90,95,80,90,85,98,92,88,75,95,90,60,80,85,40,70,60
Interview Prof. Maraun,p00200,3,1943,4,1,4,2,10,Yes,80,85,90,95,92,88,98,96,94,97,99,92,100,0,60,90,80,95,85,98,99,97,95,70,90,100,99,98,95,80,90,95,92,85,88,98,60,80,70,30,85,90
Funding,p00201,1,2004,1,5,3,1,2,No,80,85,90,95,92,88,60,58,62,40,30,22,45,20,80,85,20,90,80,40,50,55,75,65,90,60,75,85,70,70,90,95,80,65,85,75,10,30,50,25,40,60
Funding,p00202,1,2007,3,3,3,3,10,No,80,85,90,95,92,88,75,80,85,95,92,90,82,5,30,90,5,95,85,65,70,68,80,55,98,80,85,90,95,98,95,97,96,99,94,98,60,80,75,50,85,70
Funding,p00203,1,1971,3,2,3,1,10,No,70,75,80,95,98,96,90,92,94,60,55,65,30,70,50,90,0,95,85,45,55,50,60,30,80,70,80,90,90,75,80,95,85,70,90,95,20,40,30,50,60,35
Funding,p00204,2,1942,4,4,1,2,10,Yes,95,92,98,96,99,97,100,100,98,90,95,85,95,5,75,100,20,99,95,98,99,97,90,85,99,100,98,90,100,90,85,95,80,70,75,90,60,80,85,70,95,90
Funding,p00205,2,1952,3,4,2,1,5,No,80,85,90,95,92,96,88,94,91,75,80,85,90,5,60,95,10,98,90,85,90,88,92,80,98,92,95,88,95,80,95,98,90,85,92,88,60,75,50,40,70,55
Funding,p00206,1,1941,3,3,5,3,8,Yes,85,80,90,95,98,92,88,96,94,75,90,80,92,4,20,98,10,95,90,85,90,88,92,80,100,100,99,98,95,95,96,98,94,85,90,95,60,70,80,40,50,55
Funding,p00207,2,1977,1,3,1,1,8,Yes,70,65,80,95,90,85,40,30,45,20,15,10,0,100,25,90,0,95,85,30,40,50,55,20,60,60,70,80,80,50,75,90,85,30,60,80,10,20,0,90,70,50
Funding,p00208,1,1968,2,5,3,1,6,Yes,90,95,98,92,96,94,80,85,88,75,82,90,60,25,50,95,0,98,92,70,80,75,85,65,98,90,95,85,85,70,80,95,90,50,85,98,20,40,30,10,50,25
Funding,p00209,1,1939,1,2,3,2,10,Yes,80,85,90,95,98,97,92,88,96,75,90,85,95,0,50,100,20,95,90,92,95,90,88,85,98,98,99,100,100,100,95,97,98,92,90,96,60,80,70,50,95,85
Funding,p00210,2,1964,1,3,2,1,2,Yes,80,85,90,95,92,88,70,60,75,40,30,50,10,0,20,95,0,98,92,40,50,55,65,30,60,80,85,90,90,70,75,95,80,60,65,85,20,35,30,40,55,45
Funding,p00211,1,2000,1,1,2,2,10,Yes,80,85,90,95,98,99,95,92,96,88,94,92,85,0,50,95,0,98,96,80,85,88,90,75,95,95,98,90,90,92,95,98,96,94,97,99,70,85,60,40,90,80
Funding,p00212,2,1997,3,2,2,3,10,Yes,80,85,90,95,92,88,98,99,96,60,40,80,75,25,50,95,10,90,80,60,70,65,75,50,95,98,97,95,85,90,85,92,88,75,80,90,60,70,50,30,80,40
Funding,p00213,2,1962,1,3,5,1,9,No,90,85,92,95,96,98,70,75,80,65,60,55,20,5,10,80,0,95,70,30,40,35,45,25,80,50,45,65,90,90,85,95,80,70,75,80,30,40,45,25,35,50
Funding,p00214,2,1994,3,3,1,2,10,Yes,95,90,92,98,96,99,95,94,97,91,93,90,100,0,20,100,0,99,95,92,95,94,96,88,98,98,99,95,95,80,85,90,92,75,95,98,50,70,80,60,90,95
Funding,p00215,1,1996,2,3,1,3,2,No,80,85,90,95,92,88,78,76,80,65,62,75,42,20,40,80,20,90,70,50,58,55,65,45,90,85,92,80,60,60,75,90,85,45,80,70,50,60,40,20,30,10
Funding,p00216,1,1973,1,2,1,2,5,Yes,80,90,85,95,95,92,88,90,89,78,81,85,65,10,20,85,10,95,80,60,70,65,75,40,98,80,90,70,95,80,85,90,75,60,70,80,40,30,50,20,60,35
Funding,p00217,2,1978,1,4,3,2,8,Yes,95,92,98,99,100,100,95,92,98,80,90,85,95,0,70,100,0,100,95,85,90,92,95,80,100,90,95,92,100,100,100,100,90,80,95,92,60,70,50,40,80,55
Funding,p00218,2,1949,5,3,3,2,10,Yes,85,90,95,92,98,96,99,100,97,94,93,90,95,0,50,100,0,98,95,92,95,93,90,88,100,99,100,90,98,95,98,100,97,96,99,94,80,90,95,70,98,92
Funding,p00219,1,1976,1,4,2,3,8,No,80,85,90,95,92,88,82,78,84,75,85,80,92,6,50,92,10,95,85,70,80,75,85,65,98,80,90,95,95,92,95,98,85,70,80,90,60,85,70,40,80,50
Funding,p00220,2,1969,3,2,2,2,8,Yes,90,92,95,98,97,96,99,100,98,90,95,92,97,2,30,100,0,98,95,92,96,94,91,88,100,100,99,95,95,90,92,96,98,80,95,90,60,85,75,70,90,80
Funding,p00221,2,1968,1,4,4,3,8,No,80,85,90,95,92,98,88,94,96,76,82,90,92,4,60,98,20,96,94,92,95,94,90,88,98,92,98,90,96,92,96,94,98,80,90,92,60,70,40,20,80,50
Funding,p00222,1,2001,1,4,5,2,10,Yes,95,90,98,100,100,99,95,96,97,98,100,99,98,5,30,100,0,100,95,98,99,97,96,93,95,98,99,99,95,90,92,95,94,88,93,96,60,70,80,50,90,85
Funding,p00223,2,1990,1,2,4,1,2,No,70,75,80,90,95,92,88,85,89,78,90,82,65,20,80,95,0,98,92,60,65,62,75,58,95,90,95,85,92,88,92,98,90,80,95,97,40,60,70,20,80,50
Funding,p00224,1,1984,2,2,4,2,6,Yes,90,95,92,98,99,97,96,94,93,91,89,88,85,0,20,98,0,99,95,92,95,94,90,80,99,97,99,98,95,96,94,95,93,92,91,90,85,88,80,60,95,90
Funding,p00225,2,1989,1,5,3,2,10,Yes,90,95,92,98,96,94,99,97,95,90,92,88,98,0,20,99,0,98,97,85,92,90,95,88,95,95,96,90,98,99,98,97,95,96,94,98,60,80,90,30,70,50
Funding,p00226,1,1950,1,3,3,4,6,No,80,85,90,95,98,92,88,91,94,83,89,96,90,5,20,92,0,95,88,82,87,88,85,60,98,98,100,95,95,90,85,92,88,70,80,95,30,40,10,20,50,15
Funding,p00227,1,2004,1,4,2,3,6,No,80,85,90,95,92,88,76,81,78,69,65,72,83,12,40,95,20,99,94,80,82,84,88,60,95,90,92,95,96,98,96,97,93,85,89,91,45,63,55,28,82,34
Funding,p00228,1,1985,1,4,5,3,8,Yes,95,92,90,98,96,97,85,87,88,95,94,92,90,5,50,95,5,95,85,80,85,82,90,75,98,92,96,98,95,90,95,98,92,85,90,95,50,60,40,30,80,70
Funding,p00229,2,1986,5,1,4,2,10,No,85,90,95,98,96,97,94,92,95,80,85,90,95,5,50,98,5,99,97,92,95,94,96,90,100,95,96,98,98,95,92,94,97,91,96,98,60,80,90,70,95,85
Funding,p00230,1,1945,1,4,4,2,10,Yes,95,92,98,99,100,96,91,95,93,85,90,92,99,2,55,97,0,96,94,90,92,91,95,85,98,98,99,97,95,90,92,94,96,95,93,98,70,80,90,40,85,75
Funding,p00231,2,2005,1,3,3,3,8,Yes,85,90,92,95,96,97,98,99,100,75,80,90,95,0,20,100,20,100,95,85,95,90,92,80,100,100,100,90,100,100,100,100,95,80,90,100,50,60,40,70,80,60
Funding,p00232,1,1976,3,3,3,2,10,Yes,80,85,90,95,92,88,98,96,94,82,89,86,90,0,50,95,0,98,96,92,90,89,85,80,100,100,100,95,95,90,92,98,96,94,97,99,60,80,70,30,85,80
Funding,p00233,2,1978,1,2,3,3,8,Yes,85,90,88,95,92,91,78,85,89,67,73,61,65,0,40,90,0,95,88,60,65,62,75,55,95,75,80,90,80,85,92,95,88,80,90,85,25,30,40,20,50,35
Funding,p00234,2,2004,1,3,4,4,8,Yes,90,95,92,98,96,99,100,95,94,80,85,90,99,5,50,90,10,95,85,60,65,70,80,50,95,98,99,95,100,100,90,100,85,60,80,95,70,85,90,60,80,50
Funding,p00235,2,1994,1,5,3,1,8,No,70,80,85,90,95,98,75,80,82,88,92,95,60,20,30,98,20,95,90,70,80,85,88,60,95,80,85,98,90,92,95,96,99,80,90,92,40,60,70,20,80,50
Funding,p00236,2,1968,2,4,3,2,6,Yes,90,95,92,98,96,99,94,91,93,97,100,96,98,0,25,95,0,98,90,85,88,87,91,80,95,92,94,95,90,70,85,90,75,65,80,82,40,60,30,50,90,70
Funding,p00237,2,1994,4,3,4,2,8,Yes,90,95,92,98,99,97,96,94,93,91,89,88,85,15,75,98,5,99,97,80,85,82,90,75,99,95,96,98,95,92,94,99,97,85,93,95,40,60,30,10,90,85
